seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
200701,-1,0.00,-1,-1,-1
200702,33,51.19,44,51,-1
200703,43,52.54,51,55,-1
200704,57,50.00,69,73,-1
200705,65,20.00,-1,-1,-1
200706,-1,0.00,-1,-1,-1
200707,-1,0.00,-1,-1,-1
200708,53,57.14,63,69,-1
200709,42,50.00,51,59,-1
200710,66,54.55,73,80,-1
200711,41,54.84,50,55,-1
200712,36,51.52,44,49,-1
200713,-1,0.00,-1,-1,-1
200714,-1,0.00,-1,-1,-1
200715,50,52.78,57,61,-1
200716,55,51.72,65,68,-1
200717,-1,0.00,-1,-1,-1
200718,39,53.19,53,61,-1
200719,42,51.35,53,58,-1
200720,-1,0.00,-1,-1,-1
200721,52,50.00,63,70,-1
200722,39,52.24,49,56,-1
200723,36,52.50,46,53,-1
200724,32,51.38,42,48,-1
200725,-1,0.00,-1,-1,-1
200726,32,52.11,41,47,-1
200727,37,53.73,52,58,-1
200728,37,52.54,52,58,-1
200729,-1,0.00,-1,-1,-1
200730,52,50.00,73,78,-1
200731,75,25.00,80,-1,-1
200732,52,50.00,60,65,-1
200733,-1,0.00,-1,-1,-1
200734,-1,0.00,-1,-1,-1
200735,52,53.85,61,66,-1
200736,71,16.67,-1,-1,-1
200737,54,51.72,64,69,-1
200738,55,51.43,65,70,-1
200739,-1,0.00,-1,-1,-1
200740,34,56.58,43,50,-1
200741,66,42.86,78,-1,-1
200742,38,50.00,47,53,-1
200743,-1,0.00,-1,-1,-1
200744,48,53.45,57,61,-1
200745,-1,0.00,-1,-1,-1
200746,33,54.46,42,48,-1
200747,34,52.17,44,50,-1
200748,44,53.57,52,60,-1
200749,45,52.00,52,60,-1
200750,-1,0.00,-1,-1,-1
200751,39,50.88,50,55,-1
200752,33,52.17,45,51,-1
200753,-1,0.00,-1,-1,-1
200754,80,12.50,-1,-1,-1
200755,-1,0.00,-1,-1,-1
200756,68,42.86,78,-1,-1
200757,-1,0.00,-1,-1,-1
200758,-1,0.00,-1,-1,-1
200759,51,56.52,62,66,-1
200760,-1,0.00,-1,-1,-1
200761,-1,0.00,-1,-1,-1
200762,46,50.00,63,73,-1
200763,46,50.00,57,66,-1
200764,53,50.00,67,74,-1
200765,-1,0.00,-1,-1,-1
200766,50,50.00,60,65,-1
200767,39,51.43,52,57,-1
200768,-1,0.00,-1,-1,-1
200769,45,54.17,50,56,-1
200770,-1,0.00,-1,-1,-1
200771,63,50.00,70,75,-1
200772,66,20.00,-1,-1,-1
200773,-1,0.00,-1,-1,-1
200774,68,40.00,77,-1,-1
200775,34,50.93,42,49,-1
200776,32,52.94,40,47,-1
200777,-1,0.00,-1,-1,-1
200778,-1,0.00,-1,-1,-1
200779,-1,0.00,-1,-1,-1
200780,28,54.64,41,48,-1
200781,70,35.71,79,-1,-1
200782,-1,0.00,-1,-1,-1
200783,34,51.43,43,50,-1
200784,31,54.74,41,50,-1
200785,-1,0.00,-1,-1,-1
