seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100589,35,53.39,45,51,-1
100590,-1,0.00,-1,-1,-1
100591,35,53.38,44,49,-1
100592,35,50.00,42,47,-1
100593,35,50.43,41,46,-1
100594,37,53.09,48,52,-1
100595,40,53.09,47,50,-1
100596,45,51.28,53,57,-1
100597,-1,0.00,-1,-1,-1
100598,38,54.21,47,53,-1
100599,-1,0.00,-1,-1,-1
100600,-1,0.00,-1,-1,-1
100601,71,29.17,77,-1,-1
100602,43,54.32,51,55,-1
100603,-1,0.00,-1,-1,-1
100604,-1,0.00,-1,-1,-1
100605,39,50.00,47,52,-1
100606,39,51.02,48,52,-1
100607,42,55.00,52,57,-1
100608,63,50.00,72,75,-1
100609,59,51.61,68,74,-1
100610,42,52.78,55,60,-1
100611,-1,0.00,-1,-1,-1
100612,42,52.94,50,55,-1
100613,-1,0.00,-1,-1,-1
100614,-1,0.00,-1,-1,-1
100615,58,54.29,69,74,-1
100616,-1,0.00,-1,-1,-1
100617,-1,0.00,-1,-1,-1
100618,46,50.00,53,59,-1
100619,40,56.10,48,54,-1
100620,33,50.85,39,45,-1
100621,42,51.69,51,55,-1
100622,38,55.08,46,52,-1
100623,61,52.50,71,77,-1
100624,33,54.74,41,46,-1
100625,33,52.63,39,45,-1
100626,-1,0.00,-1,-1,-1
100627,48,58.02,53,57,-1
100628,-1,0.00,-1,-1,-1
100629,-1,0.00,-1,-1,-1
100630,39,54.63,50,54,-1
100631,43,54.43,55,61,-1
100632,42,51.35,52,56,-1
100633,64,57.58,69,75,-1
100634,-1,0.00,-1,-1,-1
100635,32,52.38,41,45,-1
100636,42,53.49,47,52,-1
100637,-1,0.00,-1,-1,-1
100638,36,53.12,44,50,-1
100639,61,50.00,71,76,-1
100640,44,55.71,52,57,-1
100641,32,52.86,42,48,-1
100642,-1,0.00,-1,-1,-1
100643,39,53.21,47,52,-1
100644,-1,0.00,-1,-1,-1
100645,47,51.19,54,59,-1
100646,34,51.03,43,48,-1
100647,-1,0.00,-1,-1,-1
100648,33,50.40,44,48,-1
100649,30,55.49,40,45,-1
100650,57,55.77,65,71,-1
100651,30,52.05,40,45,-1
100652,-1,0.00,-1,-1,-1
100653,45,52.70,54,58,-1
100654,37,55.17,46,51,-1
100655,-1,0.00,-1,-1,-1
100656,57,50.00,66,69,-1
100657,-1,0.00,-1,-1,-1
100658,51,53.12,56,60,-1
100659,32,54.35,39,45,-1
100660,31,54.61,38,43,-1
100661,45,54.22,54,59,-1
100662,45,50.50,53,57,-1
100663,-1,0.00,-1,-1,-1
100664,-1,0.00,-1,-1,-1
100665,47,54.00,58,63,-1
100666,-1,0.00,-1,-1,-1
100667,70,36.36,79,-1,-1
100668,41,50.00,52,56,-1
100669,31,53.69,39,44,-1
100670,47,50.00,57,61,-1
100671,42,52.27,50,56,-1
100672,28,52.00,36,41,-1
100673,77,6.25,-1,-1,-1
100674,39,50.00,49,55,-1
100675,45,56.16,52,57,-1
100676,35,54.81,43,48,-1
100677,39,54.95,47,52,-1
100678,74,15.79,-1,-1,-1
100679,56,51.52,64,69,-1
100680,39,52.04,44,48,-1
100681,39,51.49,47,52,-1
100682,-1,0.00,-1,-1,-1
100683,48,50.00,59,64,-1
100684,38,54.95,45,50,-1
100685,38,51.09,47,53,-1
100686,-1,0.00,-1,-1,-1
100687,-1,0.00,-1,-1,-1
100688,44,52.27,52,57,-1
100689,-1,0.00,-1,-1,-1
100690,39,56.10,48,53,-1
100691,31,51.77,40,44,-1
100692,45,54.35,52,57,-1
100693,27,53.30,33,38,-1
100694,45,50.88,56,61,-1
100695,39,50.00,46,52,-1
100696,-1,0.00,-1,-1,-1
100697,43,50.72,56,62,-1
100698,56,55.88,63,69,-1
100699,40,52.38,47,52,-1
100700,39,52.63,46,51,-1
100701,-1,0.00,-1,-1,-1
100702,40,53.41,50,56,-1
100703,44,55.56,52,56,-1
100704,-1,0.00,-1,-1,-1
100705,-1,0.00,-1,-1,-1
100706,-1,0.00,-1,-1,-1
100707,-1,0.00,-1,-1,-1
100708,60,51.85,65,69,-1
100709,36,55.26,45,51,-1
100710,73,50.00,77,80,-1
100711,-1,0.00,-1,-1,-1
100712,57,59.26,65,70,-1
100713,-1,0.00,-1,-1,-1
100714,35,54.55,43,48,-1
100715,53,54.24,62,66,-1
100716,-1,0.00,-1,-1,-1
100717,-1,0.00,-1,-1,-1
100718,-1,0.00,-1,-1,-1
100719,-1,0.00,-1,-1,-1
100720,38,53.09,46,51,-1
100721,-1,0.00,-1,-1,-1
100722,57,53.49,63,70,-1
100723,39,50.59,47,52,-1
100724,43,54.43,50,55,-1
100725,-1,0.00,-1,-1,-1
100726,-1,0.00,-1,-1,-1
100727,59,50.00,70,75,-1
100728,-1,0.00,-1,-1,-1
100729,38,52.53,46,52,-1
100730,66,43.33,77,-1,-1
100731,50,54.05,60,65,-1
100732,55,52.11,63,68,-1
100733,64,53.85,75,80,-1
100734,61,50.00,65,72,-1
100735,-1,0.00,-1,-1,-1
100736,77,23.08,-1,-1,-1
100737,34,53.57,42,47,-1
100738,-1,0.00,-1,-1,-1
100739,38,52.63,46,52,-1
100740,40,51.35,50,56,-1
100741,41,57.14,52,57,-1
100742,41,51.61,49,54,-1
100743,-1,0.00,-1,-1,-1
100744,43,51.56,56,61,-1
100745,34,50.94,44,49,-1
100746,51,50.00,56,61,-1
100747,34,50.00,43,48,-1
100748,45,54.12,50,54,-1
100749,47,52.54,61,66,-1
100750,63,56.41,70,76,-1
100751,52,51.79,60,64,-1
100752,38,54.76,52,56,-1
100753,38,51.46,44,50,-1
100754,62,60.00,66,72,-1
100755,-1,0.00,-1,-1,-1
100756,51,50.00,59,64,-1
100757,-1,0.00,-1,-1,-1
100758,-1,0.00,-1,-1,-1
100759,35,50.00,46,51,-1
100760,-1,0.00,-1,-1,-1
100761,-1,0.00,-1,-1,-1
100762,32,51.64,41,46,-1
100763,34,55.26,43,49,-1
100764,37,55.45,48,53,-1
100765,-1,0.00,-1,-1,-1
100766,47,52.46,54,59,-1
100767,67,50.00,76,80,-1
100768,45,52.94,54,60,-1
100769,41,54.44,50,54,-1
100770,41,50.88,53,59,-1
100771,47,55.36,58,63,-1
100772,-1,0.00,-1,-1,-1
100773,-1,0.00,-1,-1,-1
100774,-1,0.00,-1,-1,-1
100775,-1,0.00,-1,-1,-1
100776,38,54.55,47,52,-1
100777,-1,0.00,-1,-1,-1
