brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.043329,0.111223,0.405136,0.104051,0.00415699,5.5900,43.00,57.00,61.00,-1.00
0.035222,0.083445,0.308439,0.212921,0.00936451,5.8100,43.00,53.00,56.00,-1.00
0.041562,0.136055,0.180578,0.108481,0.00650392,4.6500,43.50,54.00,60.50,-1.00
0.044249,0.091760,0.455399,0.220701,0.00506846,0.9200,45.00,53.00,55.00,-1.00
0.044170,0.127051,0.275246,0.158445,0.00423258,2.8200,42.00,50.00,55.50,-1.00
0.041402,0.119046,0.284410,0.196516,0.00482475,5.1600,43.00,51.00,55.00,-1.00
0.044827,0.113327,0.328357,0.149496,0.00357327,4.9200,41.50,51.50,56.00,-1.00
0.045518,0.114474,0.204951,0.150685,0.00402679,3.3000,43.00,52.00,57.00,-1.00
0.048610,0.122068,0.188150,0.132253,0.00451246,6.0400,42.50,52.00,58.00,-1.00
0.042191,0.102784,0.404937,0.171017,0.00389424,4.5500,44.00,51.50,55.00,-1.00
0.042370,0.116344,0.262550,0.118747,0.00427206,5.4000,43.50,55.00,62.00,-1.00
0.046016,0.106556,0.546783,0.123148,0.00425531,5.3500,45.00,56.00,62.00,-1.00
0.047864,0.123006,0.125323,0.120816,0.00518170,3.1300,43.00,52.50,57.00,-1.00
0.046457,0.108297,0.264819,0.126625,0.00383276,3.9200,45.00,54.00,60.00,-1.00
0.040366,0.092905,0.214896,0.205732,0.00580379,4.7700,46.00,53.50,58.00,-1.00
0.038438,0.093219,0.284353,0.149233,0.00545776,4.5000,46.50,55.00,61.00,-1.00
0.054129,0.113837,0.365032,0.105153,0.00569561,5.8600,43.00,54.00,60.00,-1.00
0.041186,0.093292,0.273709,0.238771,0.00644880,5.4100,42.00,50.00,54.00,-1.00
0.043670,0.082827,0.377466,0.195130,0.00498996,4.8400,45.50,53.00,58.00,-1.00
0.043439,0.093177,0.138012,0.210032,0.00616222,5.7500,42.00,50.00,54.50,-1.00
0.043984,0.099986,0.403541,0.159629,0.00370258,4.8700,42.00,52.00,58.00,-1.00
0.044528,0.130539,0.347594,0.102653,0.00463371,6.0800,44.50,53.50,58.50,-1.00
0.041427,0.105278,0.425476,0.148905,0.00398401,6.1200,44.50,53.00,58.50,-1.00
0.044945,0.117472,0.466601,0.100800,0.00430497,4.0900,45.00,57.00,62.00,-1.00
0.039899,0.099875,0.240093,0.164807,0.00481484,2.7300,42.00,52.00,57.00,-1.00
0.048001,0.103997,0.258430,0.211744,0.00483447,1.5300,44.50,51.50,55.00,-1.00
0.051269,0.106677,0.292313,0.140732,0.00433950,4.9000,43.00,54.50,59.00,-1.00
0.049390,0.092963,0.384936,0.207825,0.00502241,5.8600,41.00,49.00,55.00,-1.00
0.045914,0.114418,0.272861,0.115136,0.00392820,3.6900,43.00,56.00,62.00,-1.00
0.044874,0.106159,0.314925,0.154452,0.00359575,2.1000,45.50,53.50,58.00,-1.00
0.039413,0.111243,0.304695,0.163825,0.00457950,5.9700,43.00,51.00,55.00,-1.00
0.038556,0.094373,0.389249,0.210891,0.00578453,2.6600,44.50,51.50,56.50,-1.00
0.042462,0.094156,0.593171,0.165562,0.00502599,3.4100,43.00,52.00,57.50,-1.00
0.041954,0.095952,0.302809,0.224043,0.00530644,5.3300,43.00,50.00,54.00,-1.00
0.036600,0.083605,0.564357,0.191920,0.00836073,3.8100,44.00,52.00,56.00,-1.00
0.046297,0.108634,0.150388,0.213021,0.00558452,4.9600,45.00,50.00,56.00,-1.00
0.044540,0.124594,0.268311,0.116715,0.00423051,4.9200,43.00,55.00,61.00,-1.00
0.041799,0.088314,0.491372,0.133767,0.00495473,5.2800,42.50,54.00,59.00,-1.00
